,Work Order,Type,Description,Status,Organization,Dept.,Equipment,Responsible Dept,Date Reported,Reported By,Sched. Start Date,Sched. End Date,Date Completed,Date Created,PM Code,Standard WO,Assigned To
1,930717,Breakdown-Prodn Equip Cannot Run,Coolant change for oemeta trial on MC# 4030 60086022,Supervisor Review,PMDA,D21,C21,MT,2024-06-06 07:43:00,,6/6/2024,6/6/2024,6/6/2024 7:55,6/6/2024,,,
2,930710,Breakdown-Prodn Equip Cannot Run,Coolant change for oemeta trials on MC# 4031 4032 6020 4014,Supervisor Review,PMDA,D21,C21,MT,2024-06-06 07:36:00,,6/6/2024,6/6/2024,6/6/2024 7:42,6/6/2024,,,
4,930637,Breakdown-Prodn Equip Cannot Run,air pressure fault,Supervisor Review,PMDA,D19B,M04030,MT,2024-06-06 02:25:00,RMALONEY,6/6/2024,6/6/2024,6/6/2024 2:27,6/6/2024,,,
15,930584,Breakdown-Prodn Equip Cannot Run,"FLOW OF COOLANT, LUBE, AIR INCORRECT",Supervisor Review,PMDA,D19A,M09820,MT,2024-06-05 15:36:00,KEN.DUNFORD,6/5/2024,6/5/2024,6/5/2024 15:51,6/5/2024,,,
20,930560,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",coolant leaking underneath drip tray ,Requested Work,PMDA,D19B,M06301,MT,2024-06-05 13:22:00,JLE,6/5/2024,6/5/2024,,6/5/2024,,,
26,930425,Breakdown-Prodn Equip Cannot Run,air press below min,Supervisor Review,PMDA,D04,M02250,MT,2024-06-05 05:58:00,JPATTEN,6/5/2024,6/5/2024,6/5/2024 8:36,6/5/2024,,,
37,930278,Breakdown-Prodn Equip Cannot Run,Air Leak In Valve Panel,Supervisor Review,PMDA,D01,M02830,MT,2024-06-04 17:46:00,LDAVIE,6/4/2024,6/4/2024,6/4/2024 18:10,6/4/2024,,,
40,930274,Breakdown-Prodn Equip Cannot Run,water leak,Supervisor Review,PMDA,D18A,M07220,MT,2024-06-04 17:41:00,LDAVIE,6/4/2024,6/4/2024,6/4/2024 18:11,6/4/2024,,,
51,930163,Preventive/Predictive Maintenance,BIOCIRCLE COOLANT SERVICE 13 WK ,Released,PMDA,D17A,M11040,MT,2024-06-04 09:02:00,,6/24/2024,6/30/2024,,6/4/2024,CO10088W13,,
60,911077,Preventive/Predictive Maintenance,GENERIC WASHER COOLANT CHANGEOUT & CLEANING,Released,PMDA,D16B,M09000,MT,2024-06-04 09:02:00,,6/20/2024,6/25/2024,,3/21/2024,CO0007W13,,NSIMON
63,926101,Preventive/Predictive Maintenance,FLOWCON COOLANT SYSTEM PM INSPECTION,Released,PMDA,D52,M08200,MT,2024-06-04 09:02:00,,6/18/2024,6/22/2024,,5/21/2024,PM0096W4,,NSIMON
69,930153,Preventive/Predictive Maintenance,MACHINE COOLANT CHANGE & CLEANOUT  INDUCTION HARDENER PM TASK,Released,PMDA,D18A,M07220,MT,2024-06-04 09:02:00,,6/24/2024,6/27/2024,,6/4/2024,CO10051,,NSIMON
70,923181,Preventive/Predictive Maintenance,4 WEEK COOLANT CHANGEOUT & CLEANING,Released,PMDA,D15A,M07200,MT,2024-06-04 09:02:00,,6/19/2024,6/21/2024,,5/8/2024,CO0003W4,,NSIMON
