Work Order,Type,Description,Status,Organization,Dept.,Equipment,Responsible Dept,Date Reported,Reported By,Sched. Start Date,Sched. End Date,Date Completed,Date Created,PM Code,Standard WO,Assigned To
924199,Plant Equip Related Work,REPAIR LEAKING WASTE WATER LINE AT END OF 1008 STEAMER,Supervisor Review,PMDA,D52,C52,MT,5/13/2024 7:13,EHAMMILL,5/13/2024,5/13/2024,5/13/2024 7:15,5/13/2024,,,
924184,Breakdown-Prodn Equip Cannot Run,Hydraulic leak ,Supervisor Review,PMDA,D21A,M09995,MT,5/13/2024 5:28,RADAMS,5/13/2024,5/13/2024,5/13/2024 5:29,5/13/2024,,,
923213,Breakdown-Prodn Equip Cannot Run,low pressure accumulator leaking,Hold,PMDA,D10,M02930,MT,5/8/2024 10:16,LBRUZAS,5/8/2024,5/8/2024,,5/8/2024,,,
922653,Breakdown-Prodn Equip Cannot Run,Investigate leak in tub ,Released,PMDA,D19B,M04207,MT,5/6/2024 9:08,SMCLELLAN,5/17/2024,5/17/2024,,5/6/2024,,,KEN.DUNFORD
922365,Breakdown-Prodn Equip Cannot Run,air leak on gripper,Completed,PMDA,D19B,M06008,MT,5/5/2024 1:41,MMOORE,5/5/2024,5/5/2024,5/5/2024 1:43,5/5/2024,,,
922005,Breakdown-Prodn Equip Cannot Run,Brake Air line Leak,Supervisor Review,PMDA,D03,M02590,MT,5/2/2024 17:53,RADAMS,5/2/2024,5/2/2024,5/2/2024 17:54,5/2/2024,,,
921912,Safety,M08522 major coolant/oil leak,Hold,PMDA,D61,M08522,MT,5/2/2024 14:13,SBATHURST,5/2/2024,5/2/2024,,5/2/2024,,,
921299,Breakdown-Prodn Equip Cannot Run,273 Quick exhaust valves leaking,Released,PMDA,D03,M02730,MT,4/30/2024 18:11,MDUARTE,4/30/2024,4/30/2024,,4/30/2024,,,
920856,Breakdown-Prodn Equip Cannot Run,Air leak,Completed,PMDA,D19B,M06008,MT,4/30/2024 5:13,KEN.DUNFORD,4/30/2024,4/30/2024,4/30/2024 5:20,4/30/2024,,,
920851,Breakdown-Prodn Equip Cannot Run,Coolant leak,Released,PMDA,D21A,M06020,MT,4/30/2024 5:06,KEN.DUNFORD,4/30/2024,4/30/2024,,4/30/2024,,,
920646,Breakdown-Prodn Equip Cannot Run,Coolant leak,Released,PMDA,D21C,M09922,MT,4/29/2024 11:05,SMCLELLAN,5/13/2024,5/13/2024,,4/29/2024,,,MDUARTE
920445,Breakdown-Prodn Equip Cannot Run,air leak,Completed,PMDA,D08,M03995,MT,4/28/2024 3:07,OESCOBAR,4/28/2024,4/28/2024,4/28/2024 3:08,4/28/2024,,,
920378,Breakdown-Prodn Equip Cannot Run,Water Leak ,Completed,PMDA,D19B,M04312,MT,4/27/2024 17:42,RADAMS,4/27/2024,4/27/2024,4/27/2024 17:43,4/27/2024,,,
920372,Breakdown-Prodn Equip Cannot Run,Air leak / Lube Fault,Completed,PMDA,D11,M04070,MT,4/27/2024 17:04,RADAMS,4/27/2024,4/27/2024,4/27/2024 17:05,4/27/2024,,,
920009,Breakdown-Prodn Equip Cannot Run,air tool oil leak at cylinders,Hold,PMDA,D19B,M04003,MT,4/26/2024 11:13,SMCLELLAN,4/26/2024,4/26/2024,,4/26/2024,,,
919999,Breakdown-Prodn Equip Cannot Run,air tool oil leak out cylinders,Hold,PMDA,D19B,M04004,MT,4/26/2024 11:06,SMCLELLAN,4/26/2024,4/26/2024,,4/26/2024,,,
919949,Breakdown-Prodn Equip Cannot Run,core rod quick exhaust leak,Completed,PMDA,D01,M02790,MT,4/26/2024 4:09,MMOORE,4/26/2024,4/26/2024,4/26/2024 4:13,4/26/2024,,,
919479,Standing wo,oil leaks,Released,PMDA,D04,M02250,MT,4/24/2024 11:17,LBRUZAS,4/24/2024,4/24/2024,,4/24/2024,,,
919478,Standing wo,oil leaks,Released,PMDA,D05,M02200,MT,4/24/2024 11:15,LBRUZAS,4/24/2024,4/24/2024,,4/24/2024,,,
919477,Standing wo,oil leaks,Released,PMDA,D06,M02150,MT,4/24/2024 11:14,LBRUZAS,4/24/2024,4/24/2024,,4/24/2024,,,
919474,Standing wo,oil leaks,Released,PMDA,D06,M02100,MT,4/24/2024 11:13,LBRUZAS,4/24/2024,4/24/2024,,4/24/2024,,,
919472,Standing wo,oil leaks,Released,PMDA,D07,M02000,MT,4/24/2024 11:09,LBRUZAS,4/24/2024,4/24/2024,,4/24/2024,,,
918948,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",2.5 couplers leaking,Completed,PMDA,D05,M02200,MT,4/23/2024 10:58,LBRUZAS,4/23/2024,4/23/2024,4/23/2024 11:07,4/23/2024,,,
918875,Breakdown-Prodn Equip Cannot Run,air leak,Completed,PMDA,D08,M03995,MT,4/23/2024 5:32,OESCOBAR,4/23/2024,4/23/2024,4/23/2024 5:33,4/23/2024,,,
917579,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",drip pan - oil leak ,Supervisor Review,PMDA,D19B,M06008,MT,4/18/2024 9:57,JLE,5/12/2024,5/12/2024,5/12/2024 5:04,4/18/2024,,,RADAMS
